valueID,note
b_233,[Tenant detail page] Border radius of [Tenant profile] tab is not the same as the design
b_234,[View all tenant] Tenant list cannot be displayed
b_235,[Tenant detail page] The message is incorrect
b_236,Incorrect gap between search input and asset list
b_237,[Basic asset list view] The label is incorrect
b_238,[Asset inspection timeline] The label is incorrect
b_239,[Asset inspection timeline] Tooltip is displayed even though the label is fully displayed
b_240,[Asset inspection timeline] The [Service Provider] filter is not working properly
b_241,[AMS] Sign in form is included [Sign in with Google]
b_242,[Update tenant information] Edit dialog is still displayed even though clicking backward/forward button of browser
b_243,[Update tenant information] Content of edit button is not the same as the design
b_244,[Update tenant information] Tooltip does not work correctly
b_245,[Update tenant information] Character counter of fields does not work properly
b_246,[Update tenant information] Discard/Save changes button is enabled when the update is successful
b_247,[View all tenants] Message is not the same as the design
b_248,[View users] Spelling mistake in the message
b_249,[View users] There are no messages when trying to load user list multiple times
b_250,[Loading] The shape of the load icon must be circular ----- immediately appear
b_251,[Update tenant information] Confirmation dialog has no content
b_252,[Update tenant information] Tenant profile has no content when discarding changes
b_253,[Update my profile] Horizontal scroll bar is displayed
b_254,[Update my profile] Edit dialog is broken UI
b_255,[Update my profile] Gender content is displayed incorrectly
b_256,[Update my profile] Inconsistent behavior
b_257,[Basic Geo Map View] Repeated map
b_258,[Basic Geo Map View] No assets are displayed on the map when the page is first loaded
b_259,[Basic Asset List View] There is no empty page for asset list
b_260,[Basic Asset List View] Fade out foreground to include part of the scrollbar
b_261,[Basic Asset List View] The assets should be hovered over fade out foreground
b_262,[Basic Asset List View] There is no message for 500 error
b_263,[Asset inspection timeline] The old timeline is displayed before updating to the new timeline
b_264,[Basic Asset List View] Last inspection is calculated incorrectly
b_265,[Basic Geo Map View] There are empty sections at the top / bottom of the map when moving up / down
b_266,[Basic Geo Map View] No action although mouse is displayed as cursor
b_267,[Basic Geo Map View] No map is displayed
b_268,[Asset inspection timeline] The result of inspection timeline is not correct with filter by target
b_269,[Basic Geo Map View] There is no indicator for selected Asset on max zoom out mode
b_270,[Update tenant information] Tenant profile tab is highlighted despite switching tab in small view port
b_271,[Update my profile] Scroll bar is too close to the inputs
b_272,"[Basic Geo Map View]Provide capability to re-center selected asset on map view after panning, zooming map."
b_273,[User detail view] The back button should have a different appearance when the cursor hovers it
b_274,[Basic Asset List View] No message is displayed even when clicking [Please try] multiple times
b_275,[Basic Asset List View] Website is navigated to 404 page although response status is 401
b_276,[Basic Geo Map View] Selected asset is not aligned at center of the map
b_277,[Basic Geo Map View] Some assets are not displayed when moving the map
b_278,[Basic Geo Map View] Some assets are not displayed as markers at the minimum zoom level
b_279,[Basic Asset List View] User does not have any assets but the message is [Cannot load asset list ...]
b_280,[Basic Geo Map View] Unable to drag map to top / bottom
b_281,[Asset inspection timeline] The inspection node is covered by two beside nodes
b_282,[Asset inspection timeline] The content of inspection nodes does not update when filtered (applied to nodes with more than 1 target / supplier)
b_283,[Asset inspection timeline] Asset without inspection nodes but the message is [Cannot load ...]
b_284,[View all tenants] The shadow of the tenants in the last row are covered
b_285,[Basic Geo Map View] Antarctic assets are covered by the timeline
b_286,[Basic Asset List View] Spelling mistake in the message [Failed to load...]
b_287,[Basic Asset List View] The message is incorrect when status response is 404
b_288,[Asset inspection timeline] The inspection nodes are rearranged when filtered
b_289,[Asset inspection timeline] 404 page is displayed when status response is 404
b_290,[Asset inspection timeline] [Cannot ...] message is not displayed when the status response is 400
b_291,[Asset inspection timeline] No message is displayed even when clicking [Please try] multiple times
b_292,[Asset inspection timeline] Behaviors are not incorrect when asset has not ever inspected
b_293,Server error on Dev when asset has no inspection
b_294,[Create new tenant - API] Status code responses are not the same across fields despite the same data value
b_295,[Basic Asset List View - UI] [Please try again] message is not the same as the design
b_296,[Asset inspection timeline - UI] [Please try again] message is not the same as the design
b_297,[Create new user - API] Status code is incorrect when the value of gender is null
b_298,[FE] Wrong position of map control when select same asset from list again
b_299,Possibility to change zoom factor in zoom field
b_300,Location information overlapped by buttons
b_301,Add Portal Logo 
b_302,Prevent of overlap of elements in timeline by different alignment
b_303,Adjustment of initial view on inspection targets and timeline
b_304,Size of box for inspection targets to small
b_305,Deselect option for a segment
b_306,[FE] Incorrect display of asset if it cross the anti-meridian date-lines
b_307,[Sign in - UI logic] [Wrong email or password ...] message is still displaying even though the credential has changed
b_308,[Launcher page - UI] Horizontal scrollbar is displayed when the height is short
b_309,[View all tenant page - UI] [Create tenant] button is still highlighted after the steps on [Create tenant] dialog have been completed
b_310,[View all tenants - UI] Email is displayed as an ellipsis if it's too long
b_311,[View all tenants - UI logic] Tool tip does not work correctly when the continuous string too long
b_312,[Sign in - UI] [Sign in] dialog cannot scroll down when the viewport is too short
b_313,[Create new tenant - UI logic] Behavior of Create a new tenant when the status response is 403 is incorrect
b_314,[View all tenants - UI logic] No messages are displayed when the tenant list is empty
b_315,[Tenant detail page - UI] No message is displayed even when clicking [Please try] multiple times
b_316,[Update my profile - UI logic] No notify when the status response is 400
b_317,[Create/Update dialog - UI logic] UI must be redirected to the Sign in page immediately upon token expiration (status code: 401)
b_318,[Create/ Update user - API] Wrong status response when body is incorrect
b_319,[Inspection timeline - UI] Timeline is displayed although the asset has not been inspected yet
b_320,[Inspection timeline - UI] UI of timeline is broken
b_321,[Update tenant - UI logic] Behavior when the status response is 403 is incorrect
b_322,[Basic Geo Map View - UI] Asset that cross the anti-meridian date-line is disappeared when dragging the map
b_323,[Global header AMS+PCS - UI logic] User is automatically  logged out when navigating between AMS & PCS or reloading the page
b_324,[Global header AMS+PCS - API] Username is displayed as email instead of user's name
b_325,[Global header AMS+PCS - UI] Label is not the same as the design
b_326,[Launcher page II - UI] Messages are incorrect
b_327,[View & Create user under a tenant - UI] No loading indicator to sort in the user list
b_328,[View & Create user under a tenant - UI] Tenant name is disappeared when reloading the page
b_329,[View & Create user under tenant] No messages/ errors/ company name are shown when create user under inactive tenant
b_330,[Global header - UI] Inconsistent behavior when user profiles cannot be loaded
b_331,[Asset list view - UI] Last inspection date format is not the same with the design
b_332,[Search asset - API] Search data must be trimmed with trailing spaces and leading spaces
b_333,[Search asset - UI] UI for no search result is not the same as the design
b_334,[Timeline - UI] Inspection date format is not the same with design
b_335,[Search asset - UI] [Empty asset list] must be displayed if user does not have any asset instead of [no search result]
b_336,[Service integration - UI] Service information page is not the same as the design
b_337,[Service integration - UI] Style of tab title is incorrect when the tab bar is displayed horizontally
b_338,[Service integration - UI] The shadow of cards in the last row are covered
b_339,[Service integration - UI] No tooltips are displayed if the string is displayed with ellipses
b_340,[Service integration - UI] the message [Empty service list] is wrong position
b_341,[Service integration - UI] The message is not grammatically correct
b_342,[Service integration - UI] Warning messages are displayed for at the same time
b_343,[Service integration - API] Sorting in permission table is not work
b_344,[Service integration - UI] There is no message displayed when data is not entered in the description field
b_345,[Service integration - UI logic] Description field in create service dialog is required field
b_346,[PCS] Portal cannot load data at the first time access to it & server return 500
b_347,[Create user] The new user is redirected to sign in page when logging in into Portal
b_348,[Integrate application - UI logic] Clicking on [Application Management] is not navigated to Application Overview page
b_349,[Integrate application - UI] [Application name] must be replaced by application name in title of Permission Assignment page
b_350,[Integrate application - UI] Style of tab title is incorrect when the tab bar is displayed horizontally
b_351,[Integrate application - UI] The shadow of cards in the last row are covered
b_352,[Integrate application - UI] The border of application card is not the same as the design
b_353,[Integrate application - UI] No loading indicator for application information page
b_354,[Integrate application - UI] Behavior of cards in Application/Service Overview page inconsistent with the cards in Launcher/ Tenant Overview page
b_355,[Integrate application - UI] Static content is not the same as the design
b_356,[Integrate application - UI] The position of [Empty application list] message is incorrect
b_357,[Integrate application - UI] No message is displayed when Application information cannot be loaded
b_358,[Integrate application - UI] User is not redirected to 403 page when user is not Authorized
b_359,[Integrate application - UI logic] [Cannot load... Please contact admin] message is not displayed after 4 clicks on [Try again]
b_360,[Integrate application - UI] No tooltips are displayed if the string is displayed with ellipses
b_361,[Service integration - UI logic] No message is displayed when service does not existed in the system
b_362,[Service integration - UI] Static content is not the same as the design
b_363,[Integrate application - UI] Scrollbar is displayed even though the viewport is large
b_364,[integrate application - UI logic] Handling inconsistent errors
b_365,[Integrate application - UI logic] No message display when the input string is longer than limit
b_366,[Integrate application - API] Cannot create application even though no error is displayed
b_367,[Integrate application - UI logic] No message is displayed even though SPA's IDP ClientID is the same with M2M's IDP ClientID
b_368,[Integrate application - UI] Static content is not the same as the design
b_369,[Integrate application - UI logic] No message is displayed when service cannot be added
b_370,[Integrate application - UI logic] Required permission is not required when reloading the page
b_371,[Integrate application - UI] No loading indicator when assigning permission
b_372,[Integrate application - UI] Style of Assign Permission Page is not the same as the design
b_373,[Integrate application - UI logic] Service list is not sorted after service has added successfully
b_374,[Service integration - UI] UI is broken if message for the service that does not exist in the system is displayed
b_375,[Integrate application - UI] The cursor displays as pointer but cannot do anything
b_376,[Integrate application - UI logic] The sort in Add Service form is working incorrectly
b_377,[Integrate application - UI logic] Cannot load service list in the form add service to app after first navigate out 
b_378,[Integrate application - API] Inconsistent sorting behavior between FE sort logic and BE sort logic
b_379,[Integrate application - API] Status code response is incorrect when application does not exist
b_380,[Integrate application - UI] Message is covered by Permission table on Assign permission page
b_381,[Integrate application - UI logic] No message or warning is displayed when a permission cannot be added
b_382,[AMS improvements - UI] Misspellings in static content
b_383,[AMS improvement - UI] Content spills out of line
b_384,[AMS improvement - UI] Tooltip is displayed even when hovering over empty space
b_385,[Integrate application - UI] Component position is incorrect when accessing by URL with ID does not exist
b_386,[Integrate service - UI logic] No message is shown when permission cannot be created
b_387,[All detail pages - UI logic] Error handling is not as expected
b_388,[Search asset - API] Search feature returned unexpected result
b_389,[Integrate service - API] Uniqueness checking behavior was not as expected
b_390,[Integrate service - UI] Breadcrumb bar content is incorrect after doing navigation
b_391,[Integrate service - UI logic] No message is displayed if service cannot be created
b_392,[Integrate app + service] Number of click [Try again] is not correct
b_393,[Application integration - UI logic] [Try again] does not show again after failing to add a permission
b_394,[Application integration - UI] Cursor is displayed as pointer on the disabled checkbox
b_395,[Application integration - UI logic] Content of Description column in permission table is empty when cannot get available permission list
b_396,[Application integration - UI] The gap between Service accessibility title and Service table is not the same as the design
b_397,[Integrate app] Error returned incorrectly when creating an app with an existing url and a blank client ID
b_398,[Integrate app - API] Sensitive permissions can be added to administrative app (expected: cannot be added)
b_399,[FE] App mgmt - app service dialog error message
b_400,[Application integration - UI] Static content is incorrect
b_401,[Service integration] User can create a new permission with the name that existed in the system within service (expected: cannot be created)
b_402,[Improvement] UI is redirected to Launcher page & displayed message if user's available app cannot be retrieved
b_403,[Subscribe business app for tenant - UI] Static content is not the same as the design
b_404,[Subscribe business app for tenant - API] Subscribed date is not correct
b_405,[Asset inspection timeline - API] Inspection nodes' positions are incorrect
b_406,[Geo map view - UI] No launcher/ receiver marker is displayed
b_407,[Geo map view - UI] Position of Selected & Unselected asset in Legend are not correct
b_408,[Search asset - API] Search asset is using case-sensitive (expected: insensitive)
b_409,[Asset list view - API] The parsed OD value is incorrect
b_410,[Subscribe business app for tenant - UI] Tenant name is incorrect when reloading the current page in view app detail under tenant
b_411,[Subscribe business app for tenant - UI] Message is not the same as the design
b_412,[Subscribe business app for tenant - UI] No message is displayed if application have no permissions
b_413,[Subscribe business app for tenant - UI] Add users dialog padding is not the same as the design
b_414,[Subscribe business app for tenant - UI] Navigation tab bar is not the same as the design
b_415,[Subscribe business app for tenant - UI] Long description is displayed with ellipses instead of [Read more] ad in the design
b_416,[Subscribe business app for tenant - API] User can get app permissions even though he does not subscribe that application
b_417,[Subscribe business app for tenant - API] Status code responses are different in the same case
b_418,[Subscribe business app for tenant - UI] [Cannot load...] & [Application does not exist] message are displayed at the same time if application ID does not exist
b_419,[Subscribe business app for tenant - UI] Permission list is displayed even though application does not have any permissions
b_420,[Improvement] Message is not displayed instead of loading forever if some requests are failed
b_421,[Subscribe business app for tenant - UI] Cannot navigate to anywhere if having error in Add user to app page
b_422,[Improvement] Add/Create dialog is closed when user back from the Try again dialog
b_423,[Inspection timeline - UI] Scrollbar is displayed in the inspection timeline if the asset has not been inspected
b_424,[Asset map view - UI logic] The system throws error when interacting with the asset that has not been inspected
b_425,[Asset list view - API] A unit of asset length is displayed in ft instead of mi
b_426,[Asset timeline - UI] Timeline is displayed instead of message when asset timeline data cannot be loaded
b_427,[Platform role management - UI] User is not navigate to 403 page if user is not Authorized to perform an action
b_428,[Platform role management - UI] Message grammar incorrect
b_429,[Platform role management - UI] UI shows both message dialog & redirect to 403 page
b_430,[Platform role management - UI] User does not have any way to unselect a user when adding users
b_431,[Platform role management - UI] Tenant column should not be displayed if that is in a built-in role
b_432,[Platform role management - API] Status 500 when adding user to role with invalid roleID/userID (roleID/userID does not exist in the system)
b_433,[Platform role management - API] Status 500 when adding an added user
b_434,[Platform role management - API] Endpoints (get assigned users & get assignable users) return different status code in the same case (roleID does not exist) 
b_435,[Platform role management - UI] Removing user confirmation still show up at the old position even though the user list is rearranged
b_436,[Platform role management - API] Server returned code 400 when sorting by tenant name
b_437,[Platform role management - API] Inactive & Pending users are not shown up in user list
b_438,[Inspection timeline - UI] Message font size is not the same as the design
b_439,[Platform role management - DB] Tenant admin cannot create a new user under the tenant
b_440,[Platform role management - DB] User permission is incorrect
b_441,[Tenant role management - UI] Application permissions are still show up even though they were removed
b_442,[Tenant role management - API] Status response is 500 if role description is long but it is valid
b_443,[Platform role management - API] Server returned code 400 when sorting by lastName/ firstName/ addedDate
b_444,[Tenant role management - API] Application permissions are still displayed if they are removed
b_445,[Tenant role management - UI logic] Cannot get application permission list if application permissions cannot be removed
b_446,[Tenant role management - UI] Discard dialog is showed up if status response is 403 when add app permissions
b_447,[Tenant role management - API] Business app is displayed on Launcher page with app permissions & no registration required
b_448,[Tenant role management - API] Users can access enterprise application (AMS) without app registration
b_449,[Subscribe application for tenant - UI] Disabled button is not work with response data
b_450,[Tenant role management - API] Cannot sort by added date in assigned user table
b_451,[AMS] AMS app does not works smoothly when user interact with/ search assets (list + map)
b_452,[Tenant detail - API] Cannot get information of inactive tenant
b_453,[AMS] Timeline is displayed with error message when backing from 403 page
b_454,[Platform role] Cannot add users to a platform role
b_455,[Tenant role] Cannot remove inactive users from a tenant role
b_456,[Tenant app subscription] Optional app permissions status is Enabled if adding new on app management
b_457,[Tenant role management] Status code is 201 even though tenant role name is duplicated
b_458,[Platform role] Cannot load platform role's users & app permissions
b_459,[Platform role] No error is displayed if an user is removed from his role & navigates by url or reload the current page in the old assigned role
b_460,[DB] Tenant has app permissions even though the tenant is not subscribed the app contained that permissions (tenant: Gazprom)
b_461,[Platform role] Status 200 with body [] if adding an existed user to platform role
b_462,[Platform role] User caching when adding & deleting user from/ to platform role
b_463,[Configure app permissions for tenant] Business admin can configure app permissions for a tenant
b_464,[Configure app permissions for tenant] Available app permission list is a list of disabled optional app permissions instead of enabled optional app permissions
b_465,[Configure app permissions for tenant] Optional permissions to the role is not removed from the added app permissions to the role if it is disabled
b_466,[Configure app permissions for tenant] Status code 500 with invalid id (appPermissionId does not match with appId and vice versa)
b_467,[Configure app permissions for tenant] Toggle buttons should not be enabled for business admin
b_468,[Configure app permissions for tenant] Only enabled optional permissions are displayed in the add app permissions to role dialog
b_469,[Inspection list] The newest is not sorted first by inspection date
b_470,[Inspection list] Content position differs between normal & hover
b_471,[Devops] Snyk security scan failed
b_472,[Configure app permissions for tenant] All optional permissions are shown despite of enabling or disabling
b_473,[Subscribe application for tenant] Sorting in application permissions is not work correctly
b_474,[Configure app permissions for tenant] Business admin can get assigned tenant Role of an Application Permission in a Tenant
b_475,[Inspection list] The last item in inspection list is covered by tool box
b_476,[Configure app permissions for tenant] Toggle buttons can be clicked while another is loading
b_477,[Improvement] Confirmation dialog is displayed after user navigates to another view
b_478,[Tenant role management] Application permissions are still displayed even though they are removed
b_479,[Platform/Tenant role management] Users are still displayed even though they are removed
b_480,[Platform role management] Exception is thrown when clicking Add users button in the role [Portal user]
b_481,[Application management] Confirmation dialog for create role is displayed although user is creating an application
b_482,[Configure role's permissions for tenant] The content is displayed in the small height view - Enhancement
b_483,[Configure role's permissions for tenant] The sorting at the first time a user views the app permissions list differs from a similar sort later
b_484,[Configure role's permissions for tenant] Description must be displayed with [Read more] & other field must be displayed using [...] with tooltips if  they're too long
b_485,[Map view] The legend is disappeared few seconds before it was displayed
b_486,[Map view] The selected segment must be displayed with both launcher/receiver
b_487,[Map view] The selected segment remains selected if it is re-selected after other segments has been deselected (multiple selection)
b_488,[Configure role's permissions for tenant] Sorting in required tab works incorrectly when new optional permissions are added
b_489,[Configure role's permissions for tenant] Popup is still visible even though the page redirects to page 403
b_490,[Configure role's permissions for tenant] Confirmation dialog is not displayed if all app permissions are tried to remove despite error 500
b_491,[Configure role's permissions for tenant] Add app permissions endpoint return 200 with empty array despite adding successfully
b_492,[Configure role's permissions for tenant] Spelling mistake in the confirmation message
